questionAnswer,questionContent
1,理工农医类实验室内多人同时进行实验时，人均操作面积应不小于2.5平方米。
2,在实验室可设置指纹识别的开门装置。
2,如果实验室比较宽敞，可以在实验室睡觉过夜，存放和烧煮食物、饮食，可使用可燃性蚊香。
2,实验室门口应挂上写有安全责任人的姓名和联系方式的牌子作为实验室安全信息牌。
1,实验室内设置的学习区应与实验区空间上相互独立。
1,即使停用的实验室和设备也应有安全负责人和安防措施。
2,危险实验室内设急救药箱，并严格上锁，防止药品丢失。
1,每个实验室房间门口应挂有安全信息牌，信息需包括：安全风险点的警示标识、安全责任人、涉及危险类别、防护措施和有效的应急联系电话等，并及时更新。
A,下列情形符合实验室消防要求的是：
B,实验大楼安全出口的疏散门应：
B,实验室设备安放设置正确的是：
B,实验场所应具备合理的安全空间布局，75平方米以上实验室要有几个独立出入口？
D,实验室卫生与日常管理的检查内容不包括：
C,在实验室区域内，可以：
C,实验室安全信息牌应当：
A,有关实验室分区布局错误的是：
C,实验室学生随手使用的纸巾、饮料瓶等垃圾应该如何处理？
B,实验室大走廊消防通道静宽度大于：
A,关于实验室编号和登记造册错误的是：
A,医学类实验室多人同时进行实验，人均面积应不小于：
B,下列情况有利于实验场所安全管理的是：
B,实验场所应具备合理的安全空间布局，超过200m2的实验楼层至少有几个紧急出口？
C,为避免误食有毒的化学药品，以下说法正确的是：
"C,D",关于实验场所布局正确的是：
"A,B",实验室建设和装修符合消防安全要求的选项是：
"A,B,C,D",保证实验室环境整洁卫生的选项是：
"B,C,D",危险实验室配备急救药品正确的是：
"A,B,C,D",符合实验室台面卫生整洁要求的是：
"A,B,C,D",属于实验室禁止行为的是：
"A,B,C,D",实验场所环境的具体安全要求包括：
1,实验楼主要逃生路径（室内、楼梯、通道和出口处）要有足够的紧急照明灯，且功能正常，并设置有效标识指示逃生方向。
1,隔离灭火法是将可燃物与引火源或氧气隔离开来，可防止火势继续扩大。
1,应急喷淋与洗眼装置应接入生活用水管道，水量水压适中（喷出高度8~10厘米），水流畅通平稳，切忌不能以普通淋浴装置代替应急喷淋装置。
1,安全疏散设施主要有：安全出口、疏散楼梯、疏散走道、消防电梯、火灾事故照明和疏散指示标志。
1,涉及危险源的重点场所需安装门禁和监控设施，并有专人管理，监控不留死角，图像清晰，人员出入记录可查，视频记录存储时间不少于30天。
1,实验室须配备合适的消防设施，并定期开展使用训练。
1,实验室应配备相应的消防器材，实验室工作人员要熟悉其存放位置及使用方法，并掌握有关的灭火知识。
2,有“严禁烟火”警示牌大楼和实验室，可不必配置必要消防、冲淋、洗眼、报警和逃生设施和有明显标志。
1,当发生火情时尽快沿着疏散指示标志和安全出口方向迅速离开火场。
1,火灾对实验室构成的威胁最为严重，最为直接。应加强对火灾三要素（易燃物、助燃物、点火源）的控制。
2,干粉灭火剂是扑救精密仪器火灾的最佳选择。
1,有爆炸和火灾危险场所使用手持式或移动式电动工具时，必须采用有防爆措施的电动工具。
1,当电气设备发生火灾后，如果可能应当先断电后灭火。
2,同学发现宿舍楼的电闸箱起火，可以用楼内的消火栓灭火。
1,在扑灭电气火灾的明火时，用气体灭火器扑灭。
1,使用手提灭火器时，拨掉保险销，握住胶管前端，对准燃烧物根部用力压下压把，灭火剂喷出，左右扫射，就可灭火。
1,若宿舍门外已被大火封死，要紧闭房门，用湿毛巾 等堵塞门缝，在室内等待救援。
2,电气设备着火，首先必须采取的措施是灭火。
2,身上着火被熄灭后，应马上把粘在皮肤上的衣物脱下来。
B,火灾中对人员威胁最大的是：
A,实验室火灾报警电铃响时，应当：
B,电脑着火了，应：
C,使用灭火器扑救火灾时要对准火焰的（    ）喷射。
B,定期对应急喷淋与洗眼装置进行维护检查，应多长时间启动1次？
C,实验过程中发生烧烫(灼)伤，错误的处理方法是
B,"灭火及逃生注意事项中错误的是：
"
C,水基灭火器不能用于扑救（    ）火灾。
B,火灾发生时，湿毛巾折叠8层为宜，其烟雾浓度消除率可达：
C,当遇到火灾时，要迅速向（    ）逃生。
A,扑救易燃液体火灾时，应用哪种方法？
D,干粉灭火器适用于：
A,关于灭火设备配置错误的是：
C,扑灭电器火灾不宜使用下列何种灭火器材？
B,在火灾初发阶段，应采取哪种方法撤离？
C,实验室配置合格灭火器，说法错误的是：
A,身上着火，最好的做法是：
B,被火困在室内，如何逃生？
D,下列不影响紧急逃生疏散的是：
B,下列哪项不是影响混合物爆炸极限的因素？
A,在室外灭火时，应站在（    ）位置。
A,门禁和监控系统存在隐患的是：
D,下列选项中属于防爆的措施有：
B,火灾初起阶段是扑救火灾（    ）的阶段。
C,当实验室电器发生火灾，在找不到灭火器的情况下首先要：
C,窒息灭火法是将氧气浓度降低至最低限度，以防止火势继续扩大，其主要工具是？
D,下列哪种物质的火灾可以用水扑灭：
A,如果睡觉时被烟火呛醒，正确的做法是：
C,在火灾逃生方法中，以下不正确的是：
B,当打开房门闻到燃气气味时，为防止引起火灾，要迅速：
A,实验大楼因出现火情发生浓烟已穿入实验室内时，以下哪种行为是正确的？
C,以高压二氧化碳气体或氮气作为动力，喷射干粉灭火剂灭火，对燃烧有化学抑制、窒息及冷却等作用的灭火器是：
C,火场逃生的原则是：
A,火灾发展都有一个从小到大、逐步发展直至熄灭的过程，这个过程一般分为初期、发展、猛烈、下降和熄灭五个阶段。其中（   ）阶段是扑灭火灾的最佳阶段，应力争将火灾扑灭在此阶段？
C,身上着火后，下列哪种灭火方法是错误的：
D,下列属于实验室应急设备的是：
B,发生电气火灾后，首先应该采取的第一条措施是：
"A,B",下列关于灭火器的说法正确的有：
"A,B",下列关于重点实验场所的门禁监控说法错误的是：
"B,C,D",高层建筑发生火灾时，人员不能通过（    ）渠道逃生。
"B,D",消防工作贯彻（    ）的方针，准确阐述了“防”和“消”的辩证关系。
"A,B,D",根据燃烧基本理论，只要防止形成燃烧条件，或避免燃烧条件同时存在并相互作用，就可以达到防火的目的。其防火原理包括。
"A,B,C,D",按充装的灭火剂类型不同，手提式灭火器可分为：
"B,C",室内消火栓是扑救建筑室内火灾的主要设施，通常安装在消火栓箱内，与（    ）器材配套使用，是最常见的消防设施之一。
"B,D","被火困在高楼室内应：
"
"A,B,D",物质燃烧必须同时具备的条件是：
"A,B,C,D",灭火的基本方法有：
"B,C","电器起火时，错误的做法为：
"
1,为避免线路负荷过大，而引起火灾，功率1000瓦以上的设备不得共用一个接线板。
1,停水后，应将所有水龙头、水阀门拧紧。
1,禁止用潮湿的手或湿毛巾等接触带电设备，如有需要，可配备绝缘手套等护具，谨慎操作，防止触电。
1,实验室内应使用空气开关并配备必要的漏电保护器，漏电保护器与用电设备的用电负荷匹配。
1,使用设备前，应确认其额定电压。额定电压为220V的设备应接至220V电源，额定电压为380V的设备应接至380V电源。
1,电气设备和大型仪器须接地良好，对电线老化等隐患要定期检查并及时排除。
2,未采取绝缘前，救助者可以徒手拉触电者。
2,电线走明线时，在易受机械损害的场所应用PVC线槽或盖板对其加以防护。
2,在触电现场，若触电者已经没有呼吸或脉搏，此时可以判定触电者已经死亡，可以放弃抢救。
2,实验室的电源总闸没有必要每天离开时都关闭，只要关闭常用电气的电源即可。
1,对容易产生静电的场所，要保持空气潮湿；工作人员要穿防静电的衣服和鞋靴。
1,实验人员应熟悉实验室所在楼层及实验室各级水管总阀的位置。
1,实验室安全防护装备是指用于防止实验人员受到物理、化学和生物等有害因子伤害的器材和用品。
2,冷凝系统的橡胶管应采用薄壁橡胶管，并用金属卡子加固。
2,正在进行实验时，可带着防护手套接听电话。
2,实验人员未定期检查橡胶管，连接管出现老化时未及时更换。
1,为避免眼部受伤或尽可能降低对眼部的危害，在化学实验或机械操作过程中实验人员必须佩戴防护眼镜。
2,实验人员操作旋转机械实验时，未将长发束于帽内。
1,护目镜的主要作用是防护眼睛及面部免受紫外线、红外线和微波等电磁波的辐射，以及粉尘、烟尘、金属或砂石碎屑、化学溶液溅射带来的损伤。
1,实验人员操作旋转设备时，不得佩戴长围巾、丝巾、领带等配饰。
2,蓝色镜片可吸收紫外线，黄绿镜片可同时吸收紫外线和红外线，无色含锡镜片可吸收X射线和γ射线。
1,紧急情况需使用的防护服，需分散放置在易取用的位置，并有明显的标识。
1,头部防护装备是为防御头部免受外来物体打击和其他因素危害而采取的个人防护用品。
2,实验人员使用个人防护用品，看说明书即可，无需进行个人防护用品的使用培训。
2,电路保险丝熔断，短期内可以用铜丝或铁丝代替。
2,实验人员独自进行危险性实验，不需其他实验人员在场。
1,身边有人严重触电，应当首先切断电源，然后进行紧急抢救如人工呼吸，并立即拨打急救电话120。
1,要保持实验室环境整洁，做到地面、桌面、设备三整洁，减少安全隐患。
2,只要接线板质量符合要求，就可以随意串联很多个，不影响使用。
1,漏水事故是实验室中水的主要危害。
2,实验室内可以使用木制配电板、闸刀开关、花线电线。
1,对水龙头、水阀等要做到不滴、不漏、不放任自流，上、下水管道保持通畅。
D,关于实验人员需配备合适的个人防护用品，错误的是：
D,下列不属于个体安全防护装备的是：
C,在密闭场所作业（CO2浓度为18%，有毒气体超标并空气不流通）时，应选用的个体防护用品为：
C,关于实验室用电安全，错误的是：
D,引起电器线路火灾的原因是：
D,实验室插座、接线板的使用，不符合要求的是：
B,在遇到高压电线断落地面时，导线断落点多少米内，禁止人员进入？
D,实验室用水设施：
B,进行照明设施的接电操作，应采取的防触电措施为：
A,关于实验室用水安全，说法错误的是：
B,静电电压最高可达（    ），放电时易产生静电火花，引起火灾？
B,关于实验室用水，说法错误的是：
D,电源插座损坏时，既不美观也不方便工作，并造成：
A,为了实验室用水安全，离开实验室前，应：
C,国内民用照明电路电压为以下哪种：
A,实验室用水时可能有水溅到水池外面：
A,雷电放电具有什么特点？
D,以下安全用电常识中，说法错误的是：
C,漏电保护器对下例哪种情况不起作用？
C,关于实验室安全用电，说法错误的是：
B,进行具有危险性的实验时，应：
B,实验室、办公室等用电场所如需增加电器设备，以下说法正确的是
B,被电击的人能否获救，关键在于：
C,如果触电者伤势严重，呼吸停止或心脏停止跳动，应先竭力采用胸外心脏挤压和（    ）方法进行施救。
C,任何电气设备在未验明无电之前，一律认为：
B,有人触电时，使触电人员脱离电源的错误方法是：
B,电气设备的外壳应有什么防护措施？
A,造成触电事故的因素是：
B,设备或线路的确认无电，应以什么指示作为依据？
D,关于手套的使用过程中，以下说法错误的是：
A,关于使用足部防护装备说法正确的是：
"B,C,D",进行安全风险较高的实验
"A,B,D",实验室日常规范用水需要做到哪些？
"A,B,D",下面存在实验室用电安全隐患的是？
"A,B",实验室个人防护用品佩戴正确的是：
"A,C,D",关于实验室用水注意事项，以下说法正确的是：
"B,C,D",因实验需要拉接电源线，下列哪种说法是错误的？
"A,B,C,D",影响电流对人体伤害程度的主要因素是：
"A,B,C,D",在有人触电时，借助符合相应电压等级的绝缘工具可采用（    ）使触电人员脱离低压电源。
"A,B",实验室安全防护装备可分为：
"A,B,C,D",实验室护目镜的种类主要有：
"A,B,C,D",实验室常用防护服有：
"A,B,C,D",急救箱内一般包括的物品有：
"A,C,D",实验人员进行实验时，必须正确佩戴相关安全防护用品，以下哪些情况符合要求？
"A,B,C,D","使用供电延长线应注意：
"
"A,B",实验室禁止使用的电器有：
2,开展病原微生物相关实验和研究的人员只要经过专业培训就可上岗。
1,生物安全柜使用前或使用后，应至少让生物安全柜工作5min来完成“净化”过程，亦即应留出将污染空气排出生物安全柜的时间。
2,穿着化学、生物类实验服或戴实验手套，可以进入非实验区。
1,操作者在双臂进出生物安全柜时，应动作缓慢，以维持操作面开口处气流的完整性。
1,开展第三类致病性病原微生物实验和研究，必须在BSL-2/ABSL-2或以上等级实验室进行
1,实验结束后，生物安全柜内使用过的仪器、设备等物品可能被污染，故应消毒后才可从柜内移出。
2,生物安全柜使用过程中，为了实验方便，柜内的设备和物品应尽量多放些。
2,在操作病原微生物样本的实验室，可配备超净工作台代替生物安全柜。
1,实验动物从业人员和动物实验人员，如患有乙肝等慢性传染病，不得接触实验动物，从事相关工作。
1,BSL-3/ABSL-3实验室的压力蒸汽灭菌器应配置在实验室内。
2,动物实验结束后，废弃的动物尸体与器官可作为饲料原料再利用。
1,运输高致病性病原微生物菌（毒）种或样本，必须经省（自治区、直辖市）级以上卫生行政部门批准。
2,所有病原微生物菌（毒）种的保存设备应有防护措施，应至少配有1名实验人员负责管理。
1,污染的（感染的）锋利物品，如注射针头、解剖刀片和碎玻璃；应当放置到不容易被刺破的带盖的容器中，把它们当作传染性物质处理。
1,涉及病原微生物操作时，应制定标准操作指导书（SOP）。
1,实验废弃的生物活性实验材料特别是细胞和微生物（细菌、真菌和病毒等）必须及时灭活和消毒处理。固体培养基等要采用高压灭菌处理，未经有效处理的固体废弃物不能作为日常垃圾处置。
1,临床实验室锐器废弃物收集一般不能超过容器的3/4。
2,为了防止污染，有些实验需要戴一次性手套，所以进入实验室就要戴手套，并一直戴着做所有事情。
2,"生物安全三级、四级实验室不得从事高致病性病原微生物实验活动。
"
1,在微生物实验中，一定要有“有菌观念”和“无菌操作意识”，操作中一定要按正确的程序严格无菌操作，一方面避免感染，另一方面加强自我防护。
1,生物类实验室废弃物（包括动物残体等）应用专用容器收集，进行高温高压灭菌后处理。生物实验中的一次性手套及沾染EB致癌物质的物品应统一收集和处理，不得丢弃在普通垃圾箱内。（正确 ）
1,消毒是减少除细菌芽孢外的微生物的数量，使其达到无害的程度，不一定杀灭或清除全部的微生物。
1,有害微生物和转基因生物试验操作要在生物安全柜中进行。
2,当实验室活动涉及传染性或潜在传染性生物因子时，不需要进行危害程度评估。 
1,一般实验室的环境设施条件，达不到动物实验室国家标准，不能作为动物实验的场地。
2,在动物实验结束后，可以自行处理实验动物，未处死的动物可以随手丢弃
1,生物医学实验室内任何死亡动物尸体、组织碎块，要先高温高压灭菌后密封在塑料袋交专门机构进行处理。
1,不同等级的实验动物，必须饲养在相应级别的设施内。
2,操作人员在接触过传染性物质和动物之后必须洗手、不用消毒。
2,如果动物实验室配备了各种优良的设施及设备，在规章制度和操作规程等执行方面可以放松一些。
1,根据实验所涉及的病原微生物危害程度、实验项目、材料是否灭活、标本是否培养等情况，分别在BSL-1、BSL-2、BSL-3、BSL-4实验室中分级进行实验。
2,开展动物实验的实验动物如兔子等可以到农贸市场购买。
2,实验大鼠易感染的流行性出血热病毒不会造成实验人员感染。
2,在生物类实验室，可以带手套开房门、柜子门和冰箱门等。
2,实验中用到的溴化乙锭（EB）、秋水仙素等致癌物质，实验后可以直接向下水管道或垃圾箱倾倒。
2,对于致癌物、诱变剂及致畸物按要求小心存放即可，无需配备警戒标识。
1,在生物实验室中必须配备有效的消毒剂、眼部清洗剂或生理盐水，且易于取用。可配备应急药品。
1,严禁食用、买卖实验动物，或者挪作他用。
1,生物废弃物应置于专用的、有标记的容器内。
1,涉及生物安全性的动物实验，都必须在相应级别的生物安全实验室内进行。
2,生物类实验室废弃物（包括动物残体等）可以丢弃在普通垃圾箱内。
1,实验动物是进行生命科学研究基本的材料和对象，它的质量关系到研究结果和成功率。因此，实验动物应该来源于具备资质的单位。
1,实验室实行生物安全等级认证制度，共分四级：BSL-1 、BSL-2 、BSL-3 、BSL-4 （其中动物为ABSL）， 且需经政府部门审批，获取相关资质。 
2,一般的实验室只要干净、卫生情况良好，就可以饲养动物或进行动物实验。
1,感染性废弃物的处置即减少或限制其潜在致病性的过程，焚烧不尽可能造成感染，因此不推荐使用。
1,"无论是否涉及病原微生物的实验动物尸体，都要进行无害化处理及冷冻保存，然后送具备相关资质的机构处理。
"
1,废弃的利器(包括针头、小刀、金属和玻璃等)应直接弃置于耐扎容器内。
1,每次微生物实验结束后，必须清洁消毒实验桌面，并需彻底洗手等。
1,在微生物实验中，一些污染或盛有有害细菌和病毒的器皿，一定要消毒和高压灭菌处理后方可再利用。
2,生物实验需使用一次性手套，手套用完后捆好再弃于普通的垃圾箱内。
A,在我国《病原微生物实验室安全管理条例》中，将病原微生物分为4类，其分类依据是：
A,生物安全柜在使用前需要检查正常指标，不包括：
A,根据卫生部规定，人间传染的病原微生物按危害程度可分为四类，其中哪类危害程度最高？
D,下列不属于实验室一级防护屏障的是：
A,哪一项法律的出台切实把实验室管理纳入法制化轨道：
A,根据农业部规定，动物病原微生物按危害程度可分为四类，其中哪类危害程度最高？
B,下列哪项措施不是减少气溶胶产生有效方法？
B,接收感染性物质标本应由（  ）人进行：
B,运输高致病性病原微生物菌（毒）种或者样本，应当经过：
D,实验动物的生物安全性，指的是涉及动物的哪种实验?
C,使用炭疽芽孢杆菌、鼠疫杆菌进行大量活菌实验操作应该在哪个级别实验室中。
B,干热灭菌是利用热的作用来杀菌，通常在以下哪种设备中进行？
B,以下关于BSL-2实验室的注意事项中，错误的是：
B,用作实验室消毒灭菌的紫外灯，应（    ），注意紫外线的防护。
A,下列哪项不是实验室生物安全防护的主要目的？
C,实验解剖用过的污染动物尸体应：
C,目前实验动物中，比较严重的人畜共患病是什么？
D,当移液过程中有感染性物质从移液管中滴出，为防止扩散应：
A,学校哪个部门是供应合格实验动物或提供合格动物实验场所的部门：
D,使用高压蒸汽灭菌可将细菌芽孢灭活的条件是：
A,干热灭菌使用温度和时间通常为：
D,在生物样品移液时，下列哪种操作是正确的？
C,实验室生物安全性问题不仅涉及到动物间疾病的传播，最主要还关系到：
A,下列关于处置实验服的方法错误的是：
A,正常屏障系统动物实验室内的气压，相对室外是什么压力？
D,对病原微生物的评估内容包括：
C,在微生物实验中，一些不要的菌种等可：
C,除清洁级动物应排除的病原体外，不携带干扰实验和危害动物的病原体的动物是哪种动物？
D,动物实验时，对实验动物的基本要求是：
B,生物实验中的一次性手套及沾染EB致癌物质的物品，应：
A,用于科学研究的实验动物必须来源于具备哪种证明的实验动物繁育生产场所：
C,有关实验动物福利的描述，错误的是：
B,干热灭菌效果监测应采用（  ）作生物指示物。
D,根据对微生物和寄生虫的控制程度，我国实验动物的分级为：
C,SARS病毒的分离和培养应在什么等级的实验室中进行：
